ENSOARG00000005500	ENSOARG00000002898		ENSOARG00000023487	ENSOARG00000011356							ENSOARG00000013183	ENSOARG00000009752	3		
ENSOARG00000005503	ENSOARG00000002924		ENSOARG00000024669	ENSOARG00000011449							ENSOARG00000013669	ENSOARG00000015262	3		
ENSOARG00000005655	ENSOARG00000003030		ENSOARG00000025214	ENSOARG00000011789							ENSOARG00000014207	ENSOARG00000007549	3		
ENSOARG00000005699	ENSOARG00000003121		ENSOARG00000025549	ENSOARG00000011915							ENSOARG00000014509	ENSOARG00000004833	3		
ENSOARG00000005722	ENSOARG00000003213		ENSOARG00000026322	ENSOARG00000012056							ENSOARG00000016717	ENSOARG00000018795	3		
ENSOARG00000005800	ENSOARG00000003221			ENSOARG00000012149							ENSOARG00000017011	ENSOARG00000018146	3		
ENSOARG00000005849	ENSOARG00000003319			ENSOARG00000012165							ENSOARG00000017163	ENSOARG00000012149	3		
ENSOARG00000005854	ENSOARG00000003365			ENSOARG00000012224							ENSOARG00000017823	ENSOARG00000015034	3		
ENSOARG00000005916	ENSOARG00000003401			ENSOARG00000012362							ENSOARG00000018146	ENSOARG00000020158	3		
ENSOARG00000006008	ENSOARG00000003449			ENSOARG00000012437							ENSOARG00000018396	ENSOARG00000025214	3		
ENSOARG00000006085	ENSOARG00000003452			ENSOARG00000012848							ENSOARG00000019163	ENSOARG00000009463	3		
ENSOARG00000006218	ENSOARG00000003492			ENSOARG00000012958							ENSOARG00000019698	ENSOARG00000011449	3		
ENSOARG00000006408	ENSOARG00000003517			ENSOARG00000013047							ENSOARG00000020131	ENSOARG00000017237	3		
ENSOARG00000006427	ENSOARG00000003601			ENSOARG00000013449							ENSOARG00000020740	ENSOARG00000008063	3		
ENSOARG00000006451	ENSOARG00000003647			ENSOARG00000013545							fFS-F1	ENSOARG00000020689	3		
ENSOARG00000006489	ENSOARG00000003701			ENSOARG00000013669							ENSOARG00000012206	ENSOARG00000000778	2		
ENSOARG00000006517	ENSOARG00000003722			ENSOARG00000013716							ENSOARG00000008913	ENSOARG00000009194	2		
ENSOARG00000006557	ENSOARG00000003729			ENSOARG00000013724							ENSOARG00000018427	ENSOARG00000021185	2		
ENSOARG00000006659	ENSOARG00000003778			ENSOARG00000014199							ENSOARG00000002559	ENSOARG00000020451	2		
ENSOARG00000006716	ENSOARG00000003820			ENSOARG00000014207							ENSOARG00000015262	ENSOARG00000019329	2		
ENSOARG00000006737	ENSOARG00000003828			ENSOARG00000014661							ENSOARG00000011501	ENSOARG00000019122	2		
ENSOARG00000006822	ENSOARG00000003856			ENSOARG00000014729							ENSOARG00000019883	ENSOARG00000018568	2		
ENSOARG00000006855	ENSOARG00000003867			ENSOARG00000014766							ENSOARG00000015874	ENSOARG00000020371	2		
ENSOARG00000006901	ENSOARG00000003895			ENSOARG00000014836							ENSOARG00000007892	ENSOARG00000020522	2		
ENSOARG00000006941	ENSOARG00000003963			ENSOARG00000015034							ENSOARG00000007919	ENSOARG00000015830	2		
ENSOARG00000007029	ENSOARG00000004049			ENSOARG00000015579							ENSOARG00000005833	ENSOARG00000019102	2		
ENSOARG00000007044	ENSOARG00000004145			ENSOARG00000015752							ENSOARG00000016918	ENSOARG00000010770	2		
ENSOARG00000007200	ENSOARG00000004190			ENSOARG00000016178							ENSOARG00000006941	ENSOARG00000026946	2		
ENSOARG00000007283	ENSOARG00000004211			ENSOARG00000016212							ENSOARG00000018483	ENSOARG00000015578	2		
ENSOARG00000007318	ENSOARG00000004239			ENSOARG00000016305							ENSOARG00000021540	ENSOARG00000017532	2		
ENSOARG00000007322	ENSOARG00000004247			ENSOARG00000016359							ENSOARG00000012936	ENSOARG00000016391	2		
ENSOARG00000007449	ENSOARG00000004299			ENSOARG00000017011							ENSOARG00000011885	ENSOARG00000017242	2		
ENSOARG00000007515	ENSOARG00000004394			ENSOARG00000017123							ENSOARG00000004833	ENSOARG00000005503	2		
ENSOARG00000007579	ENSOARG00000004438			ENSOARG00000017163							ENSOARG00000019103	ENSOARG00000002887	2		
ENSOARG00000007656	ENSOARG00000004454			ENSOARG00000017237							ENSOARG00000006322	ENSOARG00000015267	2		
ENSOARG00000007676	ENSOARG00000004493			ENSOARG00000017490							ENSOARG00000000130	ENSOARG00000009764	2		
ENSOARG00000007720	ENSOARG00000004611			ENSOARG00000017805							ENSOARG00000019231	ENSOARG00000014986	2		
ENSOARG00000007828	ENSOARG00000004758			ENSOARG00000017823							ENSOARG00000018943	ENSOARG00000012024	2		
ENSOARG00000007849	ENSOARG00000004829			ENSOARG00000018146							ENSOARG00000013575	ENSOARG00000014841	2		
ENSOARG00000007892	ENSOARG00000004881			ENSOARG00000018277							ENSOARG00000002356	ENSOARG00000014123	2		
ENSOARG00000007919	ENSOARG00000004915			ENSOARG00000018362							ENSOARG00000016786	ENSOARG00000014717	2		
ENSOARG00000008063	ENSOARG00000004942			ENSOARG00000018396							ENSOARG00000009276	ENSOARG00000011939	2		
ENSOARG00000008330	ENSOARG00000004944			ENSOARG00000018906							ENSOARG00000011522	ENSOARG00000013790	2		
ENSOARG00000008337	ENSOARG00000004969			ENSOARG00000018916							ENSOARG00000003849	ENSOARG00000008961	2		
ENSOARG00000008351	ENSOARG00000005014			ENSOARG00000018930							ENSOARG00000002587	ENSOARG00000010597	2		
ENSOARG00000008455	ENSOARG00000005098			ENSOARG00000019698							ENSOARG00000005238	ENSOARG00000007656	2		
ENSOARG00000008574	ENSOARG00000005106			ENSOARG00000020131							ENSOARG00000019095	ENSOARG00000013521	2		
ENSOARG00000008656	ENSOARG00000005149			ENSOARG00000020158							ENSOARG00000016846	ENSOARG00000002688	2		
ENSOARG00000008659	ENSOARG00000005169			ENSOARG00000020178							ENSOARG00000000072	ENSOARG00000005230	2		
ENSOARG00000008743	ENSOARG00000005228			ENSOARG00000020469							ENSOARG00000019613	ENSOARG00000005916	2		
ENSOARG00000008842	ENSOARG00000005230			ENSOARG00000020626							ENSOARG00000012070	ENSOARG00000009443	2		
ENSOARG00000008861	ENSOARG00000005238			ENSOARG00000020689							ENSOARG00000016427	ENSOARG00000010485	2		
ENSOARG00000008913	ENSOARG00000005247			ENSOARG00000021020							ENSOARG00000004315	ENSOARG00000006517	2		
ENSOARG00000008961	ENSOARG00000005263			ENSOARG00000025935							ENSOARG00000000229	ENSOARG00000008743	2		
ENSOARG00000008967	ENSOARG00000005318			ENSOARG00000026322							ENSOARG00000014170	ENSOARG00000005655	2		
ENSOARG00000009194	ENSOARG00000005367										ENSOARG00000007580	ENSOARG00000009469	2		
ENSOARG00000009225	ENSOARG00000005448										ENSOARG00000022544	ENSOARG00000018268	2		
ENSOARG00000009233	ENSOARG00000005462										ENSOARG00000017996	ENSOARG00000015752	2		
ENSOARG00000009344	ENSOARG00000005471										ENSOARG00000019995	ENSOARG00000004969	2		
ENSOARG00000009443	ENSOARG00000005484										ENSOARG00000018321	ENSOARG00000020215	2		
ENSOARG00000009463	ENSOARG00000005503										ENSOARG00000006210	ENSOARG00000017791	2		
ENSOARG00000009469	ENSOARG00000005513										ENSOARG00000012501	ENSOARG00000019786	2		
ENSOARG00000009566	ENSOARG00000005526										CTX-F1	ENSOARG00000001254	2		
ENSOARG00000009722	ENSOARG00000005655										ENSOARG00000000468	ENSOARG00000005854	2		
ENSOARG00000009750	ENSOARG00000005699										ENSOARG00000000531	ENSOARG00000019400	2		
ENSOARG00000009752	ENSOARG00000005709										ENSOARG00000000656	ENSOARG00000016834	2		
ENSOARG00000009764	ENSOARG00000005722										ENSOARG00000000870	ENSOARG00000017964	2		
ENSOARG00000009843	ENSOARG00000005766										ENSOARG00000000936	ENSOARG00000000327	2		
ENSOARG00000009962	ENSOARG00000005783										ENSOARG00000001346	ENSOARG00000002865	2		
ENSOARG00000009995	ENSOARG00000005812										ENSOARG00000001933	ENSOARG00000000549	2		
ENSOARG00000010088	ENSOARG00000005821										ENSOARG00000003857	ENSOARG00000014836	2		
ENSOARG00000010107	ENSOARG00000005888										ENSOARG00000004326	ENSOARG00000015579	2		
ENSOARG00000010155	ENSOARG00000005916										ENSOARG00000005124	ENSOARG00000020838	2		
ENSOARG00000010208	ENSOARG00000006002										ENSOARG00000005450	ENSOARG00000014731	2		
ENSOARG00000010382	ENSOARG00000006033										ENSOARG00000006214	ENSOARG00000006557	2		
ENSOARG00000010485	ENSOARG00000006041										ENSOARG00000006480	ENSOARG00000016979	2		
ENSOARG00000010496	ENSOARG00000006043										ENSOARG00000006935	ENSOARG00000018362	2		
ENSOARG00000010561	ENSOARG00000006068										ENSOARG00000008443	ENSOARG00000011391	2		
ENSOARG00000010597	ENSOARG00000006085										ENSOARG00000008660	ENSOARG00000011501	2		
ENSOARG00000010603	ENSOARG00000006087										ENSOARG00000008693	ENSOARG00000014283	2		
ENSOARG00000010649	ENSOARG00000006146										ENSOARG00000008838	ENSOARG00000014856	2		
ENSOARG00000010691	ENSOARG00000006175										ENSOARG00000008842	ENSOARG00000010710	2		
ENSOARG00000010704	ENSOARG00000006211										ENSOARG00000009178	ENSOARG00000007849	2		
ENSOARG00000010710	ENSOARG00000006275										ENSOARG00000009457	ENSOARG00000008838	2		
ENSOARG00000010770	ENSOARG00000006407										ENSOARG00000009600	ENSOARG00000023487	2		
ENSOARG00000010842	ENSOARG00000006447										ENSOARG00000009822	ENSOARG00000011685	2		
ENSOARG00000010855	ENSOARG00000006517										ENSOARG00000010230	ENSOARG00000014199	2		
ENSOARG00000010864	ENSOARG00000006521										ENSOARG00000010276	ENSOARG00000010561	2		
ENSOARG00000010890	ENSOARG00000006569										ENSOARG00000010332	ENSOARG00000001933	2		
ENSOARG00000010949	ENSOARG00000006577										ENSOARG00000011052	ENSOARG00000016717	2		
ENSOARG00000011081	ENSOARG00000006586										ENSOARG00000012264	ENSOARG00000008786	2		
ENSOARG00000011221	ENSOARG00000006675										ENSOARG00000013905	ENSOARG00000016305	2		
ENSOARG00000011225	ENSOARG00000006714										ENSOARG00000013936	ENSOARG00000016098	2		
ENSOARG00000011304	ENSOARG00000006737										ENSOARG00000014019	ENSOARG00000015547	2		
ENSOARG00000011328	ENSOARG00000006756										ENSOARG00000014283	ENSOARG00000007892	2		
ENSOARG00000011391	ENSOARG00000006822										ENSOARG00000014514	ENSOARG00000013019	2		
ENSOARG00000011433	ENSOARG00000006901										ENSOARG00000014616	ENSOARG00000006408	2		
ENSOARG00000011449	ENSOARG00000006911										ENSOARG00000014731	ENSOARG00000005238	2		
ENSOARG00000011522	ENSOARG00000006979										ENSOARG00000014745	ENSOARG00000003044	2		
