"","ensembl_gene_id","go_id"
"193","ENSOARG00000000778","GO:0014902"
"194","ENSOARG00000000778","GO:0055013"
"195","ENSOARG00000000778","GO:0007517"
"196","ENSOARG00000000778","GO:0007420"
"197","ENSOARG00000000778","GO:1900407"
"198","ENSOARG00000000778","GO:0030534"
"199","ENSOARG00000000778","GO:0007519"
"200","ENSOARG00000000778","GO:0042593"
"201","ENSOARG00000000778","GO:0001889"
"202","ENSOARG00000000778","GO:0072593"
"203","ENSOARG00000000778","GO:0060048"
"204","ENSOARG00000000778","GO:0010629"
"205","ENSOARG00000000778","GO:0000187"
"206","ENSOARG00000000778","GO:0046777"
"207","ENSOARG00000000778","GO:0005515"
"208","ENSOARG00000000778","GO:0016740"
"209","ENSOARG00000000778","GO:0016310"
"210","ENSOARG00000000778","GO:0016301"
"211","ENSOARG00000000778","GO:0007169"
"212","ENSOARG00000000778","GO:0004714"
"213","ENSOARG00000000778","GO:0018108"
"214","ENSOARG00000000778","GO:0016772"
"215","ENSOARG00000000778","GO:0006468"
"216","ENSOARG00000000778","GO:0005524"
"217","ENSOARG00000000778","GO:0004713"
"218","ENSOARG00000000778","GO:0004672"
"219","ENSOARG00000000778","GO:0016021"
"220","ENSOARG00000000778","GO:0016020"
"221","ENSOARG00000000778","GO:0000166"
"222","ENSOARG00000000778","GO:1901299"
"223","ENSOARG00000000778","GO:0001886"
"224","ENSOARG00000000778","GO:2001028"
"225","ENSOARG00000000778","GO:0048754"
"226","ENSOARG00000000778","GO:0019903"
"227","ENSOARG00000000778","GO:0009925"
"228","ENSOARG00000000778","GO:0009986"
"229","ENSOARG00000000778","GO:0050918"
"230","ENSOARG00000000778","GO:0045944"
"231","ENSOARG00000000778","GO:0071526"
"232","ENSOARG00000000858","GO:0004383"
"233","ENSOARG00000000858","GO:0016849"
"234","ENSOARG00000000858","GO:0009190"
"235","ENSOARG00000000858","GO:0006182"
"236","ENSOARG00000000858","GO:0035556"
"237","ENSOARG00000000858","GO:0016829"
"238","ENSOARG00000000858","GO:0016772"
"239","ENSOARG00000000858","GO:0006468"
"240","ENSOARG00000000858","GO:0005524"
"241","ENSOARG00000000858","GO:0004713"
"242","ENSOARG00000000858","GO:0004672"
"243","ENSOARG00000000858","GO:0005622"
"244","ENSOARG00000000858","GO:0016021"
"245","ENSOARG00000000858","GO:0000166"
"246","ENSOARG00000000858","GO:0042562"
"247","ENSOARG00000000858","GO:0016941"
"248","ENSOARG00000000858","GO:0043235"
"249","ENSOARG00000000858","GO:0007168"
"250","ENSOARG00000001111","GO:0045892"
"251","ENSOARG00000001111","GO:0046983"
"252","ENSOARG00000001111","GO:0005737"
"253","ENSOARG00000001111","GO:0005634"
"254","ENSOARG00000001111","GO:0043433"
"255","ENSOARG00000001111","GO:0005515"
"256","ENSOARG00000001111","GO:0005794"
"257","ENSOARG00000001111","GO:0000122"
"258","ENSOARG00000001111","GO:0003700"
"259","ENSOARG00000001111","GO:0043066"
"260","ENSOARG00000001111","GO:0007507"
"261","ENSOARG00000001111","GO:0007623"
"262","ENSOARG00000001111","GO:0031648"
"263","ENSOARG00000001111","GO:0006351"
"264","ENSOARG00000001111","GO:0045668"
"265","ENSOARG00000001111","GO:0043408"
"266","ENSOARG00000001111","GO:0043392"
"267","ENSOARG00000001111","GO:0030509"
"268","ENSOARG00000001111","GO:0046677"
"269","ENSOARG00000001111","GO:0032963"
"270","ENSOARG00000001111","GO:0001886"
"271","ENSOARG00000001111","GO:0045765"
"272","ENSOARG00000001111","GO:0060425"
"273","ENSOARG00000001111","GO:0060426"
"274","ENSOARG00000001254","GO:0005515"
"275","ENSOARG00000001254","GO:0005583"
"276","ENSOARG00000001254","GO:0048251"
"277","ENSOARG00000001254","GO:0032963"
"278","ENSOARG00000001254","GO:0070062"
"279","ENSOARG00000001254","GO:0031012"
