mirna,TC_3B,TF_4H,TF_4P,FF_5B,F1F_7G,F1F_7M,TF_9K,TC_11E,TF_13B,F1C_19A,FF_21J,TF_22A,FF_23C,F1F_24A,TC_26B,TC_27A,F1C_29A,F1F_31A,F1F_33A,FF_35C,F1C_37,FF_39A,FF_39E,FF_39J,FC_42B,TF_43A,TC_44A,FC_45A,FC_46F,TF_379,FC_41B,TF_787,FF_801,FC_974,F1C_4208,F1F_4563,F1F_4590
novel_2_417,5330,3540,1768,10046,12750,11756,6776,8934,34457,21562,8602,5616,23729,5235,10545,12952,8513,3362,5077,11205,6830,16538,17855,15368,8406,4373,14306,9316,13719,14174,24358,14217,8839,18390,6015,8899,11857
novel_2_418,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_420,550,538,492,1565,1957,2247,640,1452,7763,7498,1427,1611,2947,850,1230,1139,1580,864,774,1313,528,1598,4098,1670,1886,280,2058,2648,2353,4023,4803,1859,1617,7525,941,1321,690
novel_2_421,12,0,0,0,0,0,0,0,28,20,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,13,0,0,0,17
novel_2_422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
novel_2_423,21,11,14,32,74,64,40,65,134,66,35,63,92,28,54,32,34,24,21,27,19,25,53,34,36,25,45,42,37,41,64,42,32,48,32,89,43
novel_2_424,6970,459,503,13740,16443,11729,2919,25936,61587,28613,7071,12828,44850,5801,13496,8475,7733,16610,12229,11236,5517,10047,43891,11822,10900,4489,10797,12451,12314,15293,27824,9896,17540,32286,9561,17123,13474
novel_2_425,0,0,0,0,0,0,44,0,338,9,0,98,10,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0
novel_2_426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
novel_2_427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_428,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
novel_2_430,43,0,0,27,0,0,0,15,0,15,0,9,0,0,53,0,0,0,0,43,0,0,19,0,0,0,66,53,23,0,114,0,0,133,0,0,0
novel_2_431,0,0,0,0,70,94,0,0,0,0,65,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
novel_2_432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
novel_2_433,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_434,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0
novel_2_435,1002,328,188,1112,1595,1062,559,1755,4920,2634,1146,1343,4379,555,1328,1006,790,647,936,1288,705,904,3609,1279,916,1375,1675,1125,1570,1735,3114,1386,1468,2630,638,1068,2818
novel_2_436,0,0,0,0,0,0,0,14,0,0,0,0,25,0,0,0,0,0,0,0,9,0,17,0,0,0,0,13,0,9,15,0,0,9,0,0,0
novel_2_437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
novel_2_438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
novel_2_439,0,0,0,0,5,8,0,11,17,20,0,0,9,0,0,0,5,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_440,0,7,0,0,0,9,0,0,23,13,0,0,0,0,0,0,0,8,0,0,0,6,13,0,6,0,12,0,0,0,0,7,11,12,0,0,0
novel_2_441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_442,14,19,18,0,0,22,9,0,47,0,0,10,13,0,0,18,0,0,24,0,16,0,22,7,17,37,12,29,11,13,9,14,0,0,16,9,33
novel_2_443,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_444,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,9,0,0,0,0
novel_2_445,11,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,14,0,0,7
novel_2_446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
novel_2_448,12,7,0,0,0,10,0,0,11,11,10,0,9,0,12,0,0,0,0,7,0,0,0,8,10,8,0,0,10,0,0,0,0,7,0,0,18
novel_2_449,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
novel_2_451,0,13,10,0,0,0,10,0,10,7,7,4,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
novel_2_452,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,7
novel_2_453,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
novel_20_455,0,7,0,0,0,0,0,22,19,0,0,17,7,0,7,0,0,0,0,0,0,0,6,0,0,0,9,0,9,10,8,0,0,8,0,13,0
novel_20_456,0,0,0,0,0,8,10,0,0,59,8,0,0,0,0,0,28,0,10,12,0,0,0,10,0,0,0,0,0,0,0,11,8,0,10,0,0
novel_20_458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_20_459,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
novel_20_460,0,0,0,0,0,0,0,0,16,12,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
novel_20_461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
novel_20_462,0,0,0,0,0,0,18,0,0,0,0,50,0,0,0,0,0,0,0,0,15,0,0,0,0,54,0,0,0,0,0,0,18,0,0,0,0
novel_20_463,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,5,0,0,0,10,0,8,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0
novel_20_464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
novel_20_465,0,10,19,31,14,23,22,41,39,8,11,0,7,17,24,7,18,0,8,16,0,20,8,7,28,0,0,49,26,22,32,68,10,11,9,12,0
novel_20_466,0,23,12,23,20,31,63,58,115,37,37,16,31,18,26,27,16,17,0,48,22,35,53,32,18,0,40,58,86,54,88,70,16,33,41,12,0
novel_20_467,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15
novel_20_468,135,65,33,85,181,136,73,105,249,166,115,96,285,65,123,143,85,52,94,81,65,78,221,0,96,357,100,116,124,136,0,140,99,160,71,103,434
novel_20_469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
novel_20_470,135,65,33,85,181,136,73,105,249,166,115,96,285,65,123,143,85,52,94,81,65,78,221,0,96,357,100,116,124,136,0,140,99,160,71,103,434
novel_20_471,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,16
novel_20_472,499,579,232,365,694,412,721,519,1031,542,474,516,1063,575,873,518,666,408,685,440,582,348,665,625,431,455,515,369,741,407,576,672,461,299,585,331,950
novel_20_473,52,7,0,5,12,8,8,9,28,71,9,131,17,9,15,28,0,0,0,9,0,0,5,0,9,231,21,5,8,20,37,7,10,32,9,14,149
novel_20_474,61,0,0,0,0,7,6,0,20,0,7,0,0,0,16,0,0,0,0,7,0,0,0,0,0,184,12,0,0,11,21,0,0,23,8,0,154
novel_20_475,288,305,137,254,446,273,265,468,943,480,313,0,485,188,392,228,237,255,211,223,219,288,0,328,233,82,724,268,382,388,422,535,315,332,162,231,0
novel_20_476,9,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_20_477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_20_478,15,22,0,10,28,0,14,31,0,28,19,0,36,19,37,19,11,13,14,10,20,24,20,0,21,18,19,24,29,16,38,34,35,18,0,13,44
novel_20_479,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,12,0,0,0,0,0
novel_20_480,0,0,0,0,15,18,0,0,0,0,0,0,0,17,0,13,0,0,0,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,20,0,35
novel_20_481,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,0,0,0,174
novel_20_482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0
novel_20_483,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_20_484,111,0,0,104,198,0,0,0,371,196,0,0,219,0,0,88,0,0,0,105,108,0,150,147,0,0,175,0,144,0,128,0,137,0,108,99,0
novel_21_485,0,0,0,0,0,0,0,0,0,40,0,52,0,16,29,28,0,0,0,12,0,10,0,0,17,68,0,23,0,0,0,0,14,35,12,11,108
novel_21_486,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_487,14,19,18,0,0,22,9,17,47,0,0,10,13,0,40,18,0,0,24,0,16,0,22,0,17,37,12,29,11,14,9,14,16,18,16,9,33
novel_21_488,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_489,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,25
novel_21_490,92,19,14,85,124,215,54,77,395,285,130,90,177,62,136,116,102,52,70,111,37,130,258,151,133,211,122,137,211,205,440,70,130,479,75,114,127
novel_21_491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,9,0,0,0,0,0,0
novel_21_492,71,0,0,218,218,240,0,179,736,334,0,275,546,67,191,82,0,59,83,0,125,0,463,151,0,60,0,0,269,292,437,198,258,703,57,284,0
novel_21_493,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_496,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_497,0,0,0,10,0,0,0,10,11,9,11,0,16,0,11,8,0,0,0,10,0,0,0,0,0,0,0,0,9,13,10,0,8,0,0,0,0
novel_21_498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
novel_21_499,1290,1117,742,2603,3619,3524,1032,2734,10241,8981,2083,2448,6162,1480,2361,1685,1888,1348,1494,2121,1058,2687,6560,2932,3158,1692,3288,3863,4027,4897,7726,2917,2974,8569,1710,2645,2612
novel_21_500,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
novel_21_502,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0
novel_21_503,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
novel_21_505,22,0,0,11,22,12,9,17,39,0,16,0,32,15,14,14,7,13,0,17,15,10,24,27,8,8,14,18,8,0,18,20,26,16,13,7,0
novel_21_506,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_507,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_21_509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
novel_21_510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
novel_22_511,11,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
novel_22_512,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_22_513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
novel_22_514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
novel_22_515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_22_516,3389,244,194,565,1724,3071,653,1182,4733,2415,1282,1191,2880,1877,4217,4222,758,697,1226,1216,1458,1055,2288,1599,1461,2542,1147,1374,1065,3413,2390,1316,1453,1227,961,1022,5116
novel_22_517,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_22_518,10,0,0,0,7,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,10,13,18,0,0,0,0,0,0,0,0,0,0,0,0,9
novel_22_519,9,24,0,0,18,12,13,15,49,22,0,11,26,11,23,11,11,10,0,14,18,12,28,0,11,19,15,0,16,11,21,22,12,13,14,0,35
novel_22_520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
novel_22_521,0,0,0,0,8,0,7,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
novel_22_522,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_22_523,0,0,0,0,15,8,2,7,14,17,0,4,3,0,8,0,0,3,0,0,0,0,7,0,0,0,8,0,0,11,0,0,0,11,0,7,17
novel_22_524,0,23,9,16,21,14,23,18,11,7,11,18,0,0,22,11,0,0,0,18,6,13,13,13,9,0,22,0,0,7,0,31,0,0,17,14,30
novel_22_525,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
novel_22_526,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,24
novel_22_527,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_22_528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_23_529,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_23_530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
novel_23_531,0,0,0,9,0,0,14,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,13,0,0,0,0,0,0,0
novel_23_532,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
novel_23_533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
novel_23_534,0,8,0,12,0,0,0,0,10,0,0,0,9,0,9,8,0,0,0,11,0,0,0,11,0,0,0,0,0,8,17,8,0,22,8,10,0
novel_23_535,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,7,0,0,0,0
novel_23_536,0,8,0,13,16,14,29,0,31,11,12,9,11,13,13,0,8,13,9,29,0,28,20,11,0,0,32,23,38,18,25,0,13,9,19,0,23
novel_23_537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_23_538,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,9,0,0,0,13,0,0,0
novel_23_539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
novel_23_540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
novel_23_541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
novel_23_542,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_23_543,21,10,12,27,41,49,21,38,126,81,39,22,81,14,40,0,34,23,20,34,23,0,0,0,0,38,39,0,46,0,83,53,27,0,19,48,32
novel_23_544,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
novel_23_545,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_546,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_547,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,2,0,0,0,0,0,0,12,0,8,7,0,0,0,0,0,0,0,9,0,0,7
novel_24_548,0,0,0,0,0,0,0,0,249,152,90,0,160,0,0,77,0,0,0,87,0,0,147,0,0,50,0,0,124,0,142,0,118,0,0,72,98
novel_24_549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_550,0,0,11,0,0,12,0,0,0,18,11,0,0,0,0,10,0,8,7,9,0,0,0,9,0,0,14,0,0,10,9,0,7,0,0,0,0
novel_24_552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
novel_24_553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
novel_24_555,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_556,9,0,0,8,0,0,0,0,10,26,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,23
novel_24_557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
novel_24_558,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
novel_24_559,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_560,879,2991,1706,1907,1548,1444,3777,2389,6427,1839,1518,1249,2449,1221,3024,2528,1401,986,1121,2043,1002,2033,2832,1844,1727,955,2950,2426,4648,2446,3273,3243,1577,2052,2061,1260,2291
novel_24_561,496,903,551,745,790,748,1353,1328,3238,1150,691,582,1088,453,1498,944,607,464,499,1037,441,943,1401,892,787,586,1504,1918,2154,1404,1901,1647,773,1041,894,578,1168
novel_24_562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,114
novel_24_563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_564,0,0,11,0,0,26,22,0,106,91,28,26,108,33,0,78,27,0,42,0,38,21,53,0,24,30,58,0,0,63,65,84,44,71,38,0,79
novel_24_565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
novel_24_566,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
novel_24_568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11
novel_24_569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_570,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_571,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_573,5,0,0,0,0,0,0,0,0,4,0,0,4,4,5,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
novel_24_574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
novel_24_575,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_576,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_577,1334,1123,999,1736,1957,1926,1782,1687,3981,0,1540,1091,1945,1310,2856,1133,0,1278,1088,1946,0,2977,2548,2192,1328,1506,1849,2080,3492,1434,2420,2016,1114,1997,1359,1045,3239
novel_24_579,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_580,2897,2310,1190,5368,6714,5182,2543,5803,20010,9215,4222,5371,15102,2909,8591,4405,3484,3831,3386,4068,2594,4250,12087,4917,4519,3633,5701,6023,5657,7048,9545,4962,5372,9308,3636,4718,6972
novel_24_581,0,0,0,34,0,69,0,0,0,0,0,44,139,0,58,80,42,0,0,0,0,0,0,0,26,193,128,18,37,0,0,0,0,0,0,63,0
novel_24_582,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_583,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_584,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,8
novel_24_585,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_586,0,0,0,0,0,0,0,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_24_587,0,0,0,0,0,0,0,0,26,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
