mirna,TC_3B,TF_4H,TF_4P,FF_5B,F1F_7G,F1F_7M,TF_9K,TC_11E,TF_13B,F1C_19A,FF_21J,TF_22A,FF_23C,F1F_24A,TC_26B,TC_27A,F1C_29A,F1F_31A,F1F_33A,FF_35C,F1C_37,FF_39A,FF_39E,FF_39J,FC_42B,TF_43A,TC_44A,FC_45A,FC_46F,TF_379,FC_41B,TF_787,FF_801,FC_974,F1C_4208,F1F_4563,F1F_4590
novel_12_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,96,0,0,28,0,0,84,0,0,0,0,0,0,0,0
novel_12_142,15,0,0,11,10,29,0,12,30,12,10,0,29,0,27,0,0,13,0,0,20,0,17,0,11,16,15,0,13,10,28,0,0,11,0,10,41
novel_12_143,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_144,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0
novel_12_145,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0
novel_12_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_147,0,0,0,0,11,0,0,0,10,16,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0
novel_12_148,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
novel_12_149,0,0,0,0,10,0,0,0,39,37,0,10,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,10,11,0,24,0,0,29,0,9,14
novel_12_150,9,0,0,11,21,11,9,12,53,30,0,14,53,0,0,9,0,11,0,22,0,11,44,16,15,0,20,17,14,28,31,10,14,31,0,21,23
novel_12_151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0
novel_12_152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
novel_12_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_154,12,9,0,0,7,0,0,0,30,11,0,19,11,0,8,11,0,0,0,0,0,0,17,0,0,34,19,0,0,0,0,0,0,9,0,0,29
novel_12_156,0,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_157,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
novel_12_158,415,61,34,259,174,332,163,139,588,213,130,269,249,214,425,293,206,190,158,155,134,323,547,201,187,812,184,217,449,235,441,279,155,448,169,155,1356
novel_12_159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,84,0,0
novel_12_160,9,0,0,2,0,0,5,0,4,11,4,0,5,5,0,4,8,4,6,5,6,0,6,3,4,5,5,2,3,7,4,0,0,5,4,5,12
novel_12_161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
novel_12_162,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_163,12,0,0,10,22,0,0,11,24,39,0,0,28,0,13,0,0,0,20,0,0,0,34,14,0,16,17,0,0,10,21,0,0,28,0,0,54
novel_12_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
novel_12_165,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_167,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0
novel_12_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,0,0,0,0,0,0,0,0
novel_12_170,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_171,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,5
novel_12_172,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_173,0,7,0,27,42,12,0,0,78,13,8,0,21,0,9,8,17,15,11,0,0,21,32,15,0,0,16,0,12,7,0,0,13,29,18,0,0
novel_12_174,136,93,46,337,491,506,192,284,1831,0,375,388,710,214,0,256,314,0,200,322,127,399,905,0,429,196,477,437,590,704,0,321,240,0,178,279,359
novel_12_175,136,93,46,337,491,506,192,284,1831,0,375,388,710,214,471,256,314,0,200,322,0,399,905,0,429,0,477,437,590,704,0,321,240,0,178,279,359
novel_12_176,5,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
novel_12_177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_12_178,0,0,12,0,0,0,15,7,17,0,0,0,20,4,0,0,10,0,8,0,0,12,9,13,14,0,19,8,0,12,18,0,10,0,0,0,0
novel_13_179,22,0,0,10,22,11,0,33,56,35,0,47,58,13,28,26,0,0,19,10,15,10,35,14,14,68,17,16,20,14,41,0,14,33,12,11,108
novel_13_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_181,14,0,0,0,0,7,0,0,12,0,0,0,0,12,0,0,0,13,14,0,0,0,18,13,0,0,0,17,0,0,0,0,0,10,0,0,0
novel_13_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_183,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
novel_13_185,61,0,0,204,184,217,0,158,649,298,0,263,460,60,181,64,0,51,69,0,108,0,406,132,0,51,0,0,242,267,370,170,238,646,47,254,0
