,baseMean,baseVar,allZero,dispGeneEst,dispFit,dispersion,dispIter,dispOutlier,dispMAP,Intercept,migroupF1.C,migroupF1.F,migroupFS.C,migroupFS.F,migroupTX.C,migroupTX.F,SE_Intercept,SE_migroupF1.C,SE_migroupF1.F,SE_migroupFS.C,SE_migroupFS.F,SE_migroupTX.C,SE_migroupTX.F,MLE_Intercept,MLE_migroup_F1.F_vs_F1.C,MLE_migroup_FS.C_vs_F1.C,MLE_migroup_FS.F_vs_F1.C,MLE_migroup_TX.C_vs_F1.C,MLE_migroup_TX.F_vs_F1.C,WaldStatistic_Intercept,WaldStatistic_migroupF1.C,WaldStatistic_migroupF1.F,WaldStatistic_migroupFS.C,WaldStatistic_migroupFS.F,WaldStatistic_migroupTX.C,WaldStatistic_migroupTX.F,WaldPvalue_Intercept,WaldPvalue_migroupF1.C,WaldPvalue_migroupF1.F,WaldPvalue_migroupFS.C,WaldPvalue_migroupFS.F,WaldPvalue_migroupTX.C,WaldPvalue_migroupTX.F,betaConv,betaIter,deviance,maxCooks,replace
oar-miR-494-3p,132.3504575036,4053.4490923275,FALSE,0.2437893858,0.6673575193,0.2528255145,8,FALSE,0.2528255145,7.0553531142,0.1129939023,0.1398903865,-0.1885367086,-0.2560419866,0.1578341117,0.0338642611,0.124246251,0.2655820697,0.2266202585,0.2492107992,0.2183236139,0.2492186277,0.2186752968,7.1953014232,0.0190424425,-0.3651473352,-0.427188835,0.0479321204,-0.1020001341,56.7852394544,0.4254575711,0.6172898548,-0.7565350668,-1.1727635962,0.6333158688,0.1548609357,0,0.6705031453,0.5370435573,0.449328456,0.2408906204,0.5265273926,0.8769309508,TRUE,5,404.5296096084,0.0575521299,FALSE
oar-miR-494-5p,13.0188346398,22.9199611427,FALSE,0.0739405465,2.9161291216,0.1094951117,13,FALSE,0.1094951117,3.6919488686,-0.0724434997,0.100314672,-0.2529212728,-0.1119633985,0.2782149349,0.0588006396,0.1055649815,0.2415827849,0.2000179743,0.2189817526,0.1915339503,0.2158104433,0.1942383682,3.6067219747,0.1953626587,-0.2015987273,-0.036686933,0.3991838163,0.1494489495,34.9732346398,-0.2998702897,0.5015282868,-1.1549878915,-0.5845616315,1.2891634468,0.3027241225,5.74335784452163E-268,0.7642760974,0.6159993754,0.248095385,0.558842513,0.1973412699,0.7621001128,TRUE,4,218.1799253608,0.1384696561,FALSE
oar-miR-495-3p,58.3821501483,2585.6313284094,FALSE,0.4194484134,0.9781907966,0.4318902562,7,FALSE,0.4318902562,5.8084701721,-0.2276910437,0.2966287994,-0.2461591816,-0.3674179778,0.1879169804,0.3567256886,0.1626525995,0.3083523046,0.2725043366,0.2937465049,0.2649388575,0.2936173303,0.2645210567,5.4820608735,0.6913430003,-0.0036937653,-0.1198713715,0.5754770097,0.7552669328,35.7108966558,-0.7384120058,1.0885287299,-0.8379986737,-1.3868029073,0.6400064336,1.3485719928,2.67818981412517E-279,0.4602641212,0.2763617605,0.4020314484,0.1655018703,0.5221684167,0.1774744816,TRUE,6,358.4294992257,0.1008191375,FALSE
oar-miR-541-3p,43.8791869841,1254.2204600852,FALSE,0.4373813944,1.1620161651,0.4523796948,7,FALSE,0.4523796948,5.4269779373,0.2384657767,0.3341609016,-0.1836517505,-0.4551933493,-0.1212502722,0.1874717445,0.1672137397,0.311173714,0.2769665898,0.2977393274,0.2699719572,0.2983359696,0.2696139892,5.7664352636,0.0759973952,-0.5887272352,-0.8997234875,-0.5043768463,-0.1110473766,32.4553349968,0.7663429333,1.2065025674,-0.6168205997,-1.6860764134,-0.4064219021,0.6953338924,4.55473933844896E-231,0.4434722787,0.2276237697,0.537353063,0.0917810823,0.6844326295,0.4868460789,TRUE,6,338.7609748081,0.0439849602,FALSE
oar-miR-541-5p,115.0065567269,2807.3321106739,FALSE,0.1378563681,0.7043561875,0.1471640365,9,FALSE,0.1471640365,6.8208461236,0.0530644251,0.3948494252,-0.4200063225,-0.2982044392,0.287325353,-0.017024607,0.0965888343,0.2224460821,0.1844000378,0.2064700961,0.1776991539,0.2055787206,0.1783055558,6.8816011468,0.3660222401,-0.5301736881,-0.3808827064,0.2591572109,-0.0790285968,70.617335554,0.2385496051,2.1412654246,-2.0342235042,-1.678142145,1.3976415076,-0.0954799583,0,0.8114548462,0.0322526397,0.0419290658,0.0933193529,0.1622207473,0.9239336085,TRUE,6,375.6235131988,0.0394595936,FALSE
oar-miR-543-3p,185.9051050659,11078.6901148365,FALSE,0.1657327133,0.5966822029,0.1735603176,8,FALSE,0.1735603176,7.4820230798,-0.1373704962,0.3196824058,-0.4169365119,-0.2939405867,0.2153237507,0.3132456445,0.1033529107,0.2343076108,0.1955277352,0.2178209879,0.1880318149,0.2174155976,0.1879000115,7.3215692751,0.5099820512,-0.312965975,-0.1582110386,0.4040034539,0.4994436422,72.3929595094,-0.5862826896,1.6349721714,-1.9141246025,-1.563249213,0.9903785794,1.6670868824,0,0.5576855617,0.1020548815,0.0556042366,0.1179939888,0.3219891114,0.0954971301,TRUE,6,415.6138731207,0.1249639908,FALSE
oar-miR-655-3p,111.7614594536,1282.536040419,FALSE,0.0869559638,0.7125540459,0.0952990649,10,FALSE,0.0952990649,6.7864948811,-0.1185786836,0.1092251525,-0.1932783376,0.059878846,0.0529423436,0.0898144943,0.0792404196,0.1905535172,0.1556564164,0.174090655,0.1481832435,0.1744612385,0.1496456317,6.6562449697,0.2454883084,-0.0779146398,0.1929905471,0.1872786381,0.2244674277,85.6443581924,-0.6222854627,0.7017067142,-1.1102166148,0.4040864848,0.303461927,0.6001811971,0,0.5337541784,0.482862085,0.2669056949,0.6861491231,0.7615378581,0.5483854834,TRUE,4,360.4528328686,0.0521355255,FALSE
oar-miR-665-3p,1285.6225870371,404041.246836104,FALSE,0.1759782467,0.4472777029,0.1816007082,7,FALSE,0.1816007082,10.3020424613,0.1523169499,0.3277571876,-0.3642184312,-0.2473424236,0.0151236752,0.1163688337,0.1041494274,0.2351573004,0.1970122214,0.2191607243,0.1890609827,0.2191550048,0.1890973195,10.4798430534,0.1812205214,-0.5920659006,-0.4461876842,-0.1606351575,-0.0516356002,98.9159779419,0.647723671,1.6636388608,-1.6618782055,-1.3082679466,0.0690090339,0.6153912386,0,0.5171636914,0.0961846211,0.0965371974,0.190782443,0.9449824286,0.5382963761,TRUE,5,560.1501608089,0.0604975308,FALSE
oar-miR-668-3p,49.9335524187,616.0188962212,FALSE,0.1620509757,1.0722929239,0.1755046882,11,FALSE,0.1755046882,5.5630347157,0.0475298635,0.0482500767,-0.6051049735,0.1529634934,0.0747774443,0.281587223,0.1084994306,0.2426345636,0.204096457,0.2271223094,0.1943702699,0.2253070355,0.1958826141,5.619341998,-0.002959596,-0.7548068973,0.110420845,0.0292681944,0.2516207103,51.2724784268,0.1958907369,0.2364082031,-2.6642251709,0.7869695991,0.3318912972,1.4375304533,0,0.8446956877,0.8131159314,0.0077165891,0.4312996628,0.7399713421,0.1505673261,TRUE,7,321.0222482841,0.0500212472,FALSE
oar-miR-758-3p,66.8004533301,1227.5227861746,FALSE,0.202824201,0.908101383,0.2149233215,10,FALSE,0.2149233215,6.0517229883,0.2091701453,0.2268622938,-0.2325787526,-0.2967489392,-0.0812326541,0.1745313089,0.117003598,0.2550337402,0.2161230219,0.2385595886,0.2085769057,0.2392032911,0.2086578266,6.3045746408,0.0012784577,-0.5252455485,-0.5817250426,-0.348121717,-0.0597630992,51.722537516,0.8201665598,1.0496905506,-0.9749293832,-1.4227315254,-0.3395967244,0.8364474593,0,0.4121211625,0.2938604097,0.3295952897,0.1548139981,0.7341602452,0.4029032229,TRUE,4,348.8779957012,0.0978804974,FALSE
